	BJ24L	BJ24S	KJ25L	KJ25S	KB14L	KB14S	KJ15L	KJ15S	BB24L	BB24S	BJ25L	BJ25S	KM14L	KM14S	KM15L	KM15S	BJ14L	BJ14S	KM25L	KM25S	BM24L	BM24S	BM15L	BM15S	BB14L	BB14S	KB15L	KB15S	KJ14L	KJ14S	BM25L	BM25S	KJ24L	KJ24S	BJ15L	BJ15S	BM14L	BM14S	BB15L	BB15S	KB24L	KB24S	KB25L	KB25S	KM24L	KM24S	BB25L	BB25S
"CBM32,CBM51,GH31"	0	0	0.631	0.521	0.96	1.156	0.374	0	1.963	1.467	0	0	2.27	0	2.038	0.48	0.875	0	1.668	0.372	1.004	0.311	2.017	0.295	1.982	2.332	1.679	0.818	0.175	0	2.211	2.642	0.78	0.54	3.906	3.559	0.55	0.924	0.544	0	1.05	1.78	2.234	0.457	0.167	0.244	0.473	2.677
"CBM32,GH128"	0	0	0	0	0	0	0	0.651	0	0	0	0	0	0.753	0	0	0	0	0	1.662	0	0	0	1.315	0	0	0.535	3.958	0	0.548	0	0.874	0	0.603	0	0	0	0	0	0	0	0	0	1.021	0	0	0	0.543
"CBM32,GH2"	0.172	3.534	0	3.539	3.54	3.052	1.549	3.977	1.722	3.661	0.921	8.861	2.774	4.603	2.09	1.958	0.192	0.516	2.328	4.18	4.096	5.949	3.39	4.12	1.202	2.788	0.865	1.798	1.479	1.189	2.846	3.024	1.696	4.167	2.141	3.666	2.937	4.131	0.768	0.427	3.272	5.23	0.551	2.239	3.048	5.978	0.184	2.477
"CBM32,GH29"	2.923	0.673	1.476	1.117	4.199	1.35	0.327	0.625	3.028	1.285	1.499	0	1.524	0.296	1.539	0.841	1.237	0.512	3.053	0	1.418	1.756	1.753	0.516	1.334	0	4.158	0.478	1.058	0	1.758	1.448	1.179	0.237	3.515	2.16	1.284	0.27	0.953	0	5.058	0.52	0.522	0.801	1.186	0	2.286	1.918
"CBM32,GH43"	9.406	12.602	3.043	34.81	15.23	24.469	20.105	26.319	5.937	27.51	11.161	31.626	21.335	26.304	7.204	21.141	10.638	13.671	13.938	29.659	14.649	20.532	8.675	19.625	22.813	39.197	9.454	13.992	15.304	26.481	12.434	14.635	12.168	19.268	12.337	19.892	17.939	27.954	11.373	6.556	15.144	20.699	9.23	8.59	14.545	25.539	11.949	25.112
"CBM32,GH55"	0	0	0	0	0	1.167	0	0	0	2.222	0	2.339	0	0	0	0.97	0	0	0	4.509	0	0	0	0.595	0	0	0	7.711	0	0.496	0	2.173	0	4.091	0	1.232	0	0	0	0.464	0	0	0	1.847	0	0	0	0
"CBM32,GH85"	0	0.288	0.232	0.239	0.252	0.354	0	0.803	0	0.337	0	0	0.154	1.549	0.585	0.441	0	0	0.306	2.05	0.461	0.571	0	0.27	0.165	0	0	0.25	0.161	0.451	0	0.539	0	0.496	0	0.373	0	1.413	0	0.211	0.175	1.089	0.273	0	0.382	4.03	0	0.223
"CBM34,GH13"	0	0.749	0	0	0	0	0.949	1.847	0	0.932	0.887	1.73	0	1.612	0	4.051	0	0	0.847	1.769	0	0.986	0	2.384	0.43	0	0	1.515	0.836	0.293	0	0.964	0.495	0.686	0.854	2.944	0	0.782	0	0	0	0.94	0	0	1.324	2.319	1.679	1.933
"CBM35,GH26"	1.689	4.753	3.493	9.061	1.107	3.371	8.562	12.606	3.913	4.95	1.142	6.207	0.644	7.219	3.994	7.679	5.212	2.086	1.322	3.898	3.532	1.378	1.791	2.009	3.742	8.211	1.41	8.491	5.42	7.785	8.184	4.319	2.891	2.982	3.896	2.66	4.231	8.269	0.877	3.383	2.55	5.452	0.808	3.35	6.549	5.265	3.01	2.044
"CBM35,GH27"	0	0.975	0	1.363	0.291	2.397	0	1.813	0	1.92	0	1.212	1.427	1.049	0	0	0	0.62	0.708	0.79	0	0	0	0.625	0.84	1.208	1.119	0.848	0.743	0.521	0	1.647	1.021	0	0	2.56	0.389	0	1.733	0	0	1.845	0	0	1.768	1.276	0	0
"CBM35,GH43"	0.822	0.768	1.19	3.147	0.742	0	4.099	2.585	2.992	2.251	1.451	3.468	4.363	1.014	3.336	3.539	2.534	1.984	1.914	1.052	2.615	1.492	1.012	5.296	5.295	2.015	1.214	5.126	1.681	3.041	1.282	2.875	3.215	3.594	2.632	1.736	2.308	5.49	0.769	1.518	1.153	2.992	2.093	2.997	2.946	6.194	1.916	2.48
"CBM35,GH76"	0	0.945	0.761	2.718	0	0	0	0.878	0	2.977	0	0	0	0.508	0	0	0	0	0	1.898	0	1.406	0	0	0.376	0.811	0	0.822	0.365	0	0	0	0	0.814	0	0.425	0	0	0	0	0	0	0	0	0	2.121	0	0
"CBM35,GH97"	0	0.362	0	0.901	0.317	2.001	0	1.009	0	0	0	1.069	0.679	1.168	0	1.108	0	0	0	2.791	0.29	1.076	0	1.359	0.312	1.121	0	0.315	0	0.567	0	0.677	0	0.623	0	0.117	0.423	1.954	0.314	0	0	0.684	0.516	0	0.673	4.221	0	0.281
"CBM35,GH98"	1.089	1.053	0.283	1.749	0.921	0	0.418	0	0	0	1.564	0.778	0.941	0	0.856	0	0.245	0.327	0.373	0.417	1.685	3.133	0.869	0.659	0.202	0.435	0	0	0.98	0	0	1.095	1.31	0.605	0.603	0.455	0.205	1.034	0	0	0.641	0.664	0.333	0.512	0	1.638	0.212	0
"CBM36,GH11"	1.109	0	1.445	0.436	0.651	0.78	2.808	1.872	0.506	1.219	1	0.55	1.122	4.42	0.847	0	1.069	0	0	1.767	1.437	0	0.737	2.385	1.203	1.291	0	0	2.702	0	0	2.098	0.463	0.898	0.895	0.653	2.83	0.516	0.456	0.546	2.202	1.201	0	0.767	0.559	2.411	0	1.795
"CBM38,GH32"	0.564	2.728	0.732	1.357	0	0	1.726	0.501	0	1.064	0	1.07	1.797	1.739	1.614	4.951	0	0	0	8.952	0.431	0	0	0.854	0	0	0	0	1.015	0	0.584	6.723	0	0.784	0.463	0.349	0	0	0	0	0	1.721	0	0.786	0.769	2.895	0	0.706
"CBM4,GH10"	0	0	0	0	3.312	1.551	0.501	0	1.621	0.492	0	0	0.451	0	0.342	0	0	0	0.224	0	0	0	0	0.79	0.725	0	1.93	0	0.235	0	0.456	0	0.262	0	0	0.546	0	0	0.73	0.771	1.024	0	1.998	0.614	0	0	0.127	1.796
"CBM4,GH16"	0	2.416	0	0	0.631	5.2	0	0	0	0	0	0	0	0.654	0.914	3.586	0	0	0	0.712	0.901	0	3.143	0	0	0	0	1.044	0	0	0	0.702	0	0	0	0.778	0	0	0	0	1.47	0	0	0	1.364	0.876	1.593	1.31
"CBM4,GH5"	0	0	0	1.109	0.292	0	2.388	3.723	0	1.551	0.739	0	0.179	2.152	0	0.508	1.865	0	0	1.58	0	0.986	0.661	0.627	1.527	1.233	0	1.158	1.488	3.661	0.719	1.655	1.858	2.003	1.147	0	0	0.651	0.575	1.459	0	1.254	0	0.967	0.355	1.813	0	0.515
