Names	Feed	Collection	Breed	Fraction	Group.Fc	Group.Fb	Group.Fp	Group.Cb	Group.Cp	Group.Bp	Group.Fcb	Group.Fcp	Group.Cbp	Group.all	BarPlot
KB15S	Bajra	Collection-5	Kachchhi	Solid	Bajra5	BajraKachchhi	BajraSolid	5Kachchhi	5Solid	KachchhiSolid	Bajra5Kachchhi	Bajra5Solid	5KachchhiSolid	Bajra5KachchhiSolid	5K1
KB21L	Bajra	Collection-1	Kachchhi	Liquid	Bajra1	BajraKachchhi	BajraLiquid	1Kachchhi	1Liquid	KachchhiLiquid	Bajra1Kachchhi	Bajra1Liquid	1KachchhiLiquid	Bajra1KachchhiLiquid	1K2
KB21S	Bajra	Collection-1	Kachchhi	Solid	Bajra1	BajraKachchhi	BajraSolid	1Kachchhi	1Solid	KachchhiSolid	Bajra1Kachchhi	Bajra1Solid	1KachchhiSolid	Bajra1KachchhiSolid	1K2
KB22L	Bajra	Collection-2	Kachchhi	Liquid	Bajra2	BajraKachchhi	BajraLiquid	2Kachchhi	2Liquid	KachchhiLiquid	Bajra2Kachchhi	Bajra2Liquid	2KachchhiLiquid	Bajra2KachchhiLiquid	2K2
KB22S	Bajra	Collection-2	Kachchhi	Solid	Bajra2	BajraKachchhi	BajraSolid	2Kachchhi	2Solid	KachchhiSolid	Bajra2Kachchhi	Bajra2Solid	2KachchhiSolid	Bajra2KachchhiSolid	2K2
KB23L	Bajra	Collection-3	Kachchhi	Liquid	Bajra3	BajraKachchhi	BajraLiquid	3Kachchhi	3Liquid	KachchhiLiquid	Bajra3Kachchhi	Bajra3Liquid	3KachchhiLiquid	Bajra3KachchhiLiquid	3K2
KB23S	Bajra	Collection-3	Kachchhi	Solid	Bajra3	BajraKachchhi	BajraSolid	3Kachchhi	3Solid	KachchhiSolid	Bajra3Kachchhi	Bajra3Solid	3KachchhiSolid	Bajra3KachchhiSolid	3K2
KB24L	Bajra	Collection-4	Kachchhi	Liquid	Bajra4	BajraKachchhi	BajraLiquid	4Kachchhi	4Liquid	KachchhiLiquid	Bajra4Kachchhi	Bajra4Liquid	4KachchhiLiquid	Bajra4KachchhiLiquid	4K2
KB24S	Bajra	Collection-4	Kachchhi	Solid	Bajra4	BajraKachchhi	BajraSolid	4Kachchhi	4Solid	KachchhiSolid	Bajra4Kachchhi	Bajra4Solid	4KachchhiSolid	Bajra4KachchhiSolid	4K2
KB25L	Bajra	Collection-5	Kachchhi	Liquid	Bajra5	BajraKachchhi	BajraLiquid	5Kachchhi	5Liquid	KachchhiLiquid	Bajra5Kachchhi	Bajra5Liquid	5KachchhiLiquid	Bajra5KachchhiLiquid	5K2
